Date,Open,High,Low,Close,Volume,Name
1/3/2006,211.47,218.05,209.32,217.83,13137450,GOOGL
1/4/2006,222.17,224.7,220.09,222.84,15292353,GOOGL
1/5/2006,223.22,226,220.97,225.85,10815661,GOOGL
1/6/2006,228.66,235.49,226.85,233.06,17759521,GOOGL
1/9/2006,233.44,236.94,230.7,233.68,12795837,GOOGL
1/10/2006,232.44,235.36,231.25,235.11,9104719,GOOGL
1/11/2006,235.87,237.79,234.82,236.05,9008664,GOOGL
1/12/2006,237.1,237.73,230.98,232.05,10125212,GOOGL
1/13/2006,232.39,233.68,231.04,233.36,7660220,GOOGL
1/17/2006,231.76,235.18,231.5,233.79,8335300,GOOGL
1/18/2006,223.87,228.91,221.85,222.68,20511176,GOOGL
1/19/2006,225.81,226.97,216.72,218.44,14539830,GOOGL
1/20/2006,219.57,220.24,197.57,199.93,41182889,GOOGL
1/23/2006,203.89,214.41,203.07,213.96,22768073,GOOGL
1/24/2006,218.23,222.7,217.46,221.74,15468453,GOOGL
1/25/2006,225.86,227.34,214.82,216.72,18746567,GOOGL
1/26/2006,219.99,220.22,211.99,217.35,12931382,GOOGL
1/27/2006,217.72,219.33,214.7,216.96,8459747,GOOGL
1/30/2006,214.83,216.86,212.71,213.62,8596167,GOOGL
1/31/2006,215.5,220.02,212.2,216.55,22449604,GOOGL
2/1/2006,194.71,201.2,193.95,201.09,27132792,GOOGL
2/2/2006,202.11,203.45,198.19,198.22,11810931,GOOGL
2/3/2006,197.01,197.15,186.47,190.97,18286547,GOOGL
2/6/2006,192.85,195.14,189.97,192.74,8948485,GOOGL
2/7/2006,191.69,192.04,181.85,184.14,16640139,GOOGL
2/8/2006,184.42,185.53,177.51,184.72,20818364,GOOGL
2/9/2006,185.79,187.39,178.23,179.56,11913420,GOOGL
2/10/2006,181.16,182.43,176.75,181.49,15223458,GOOGL
2/13/2006,173.49,175.48,171.12,173.02,19724806,GOOGL
2/14/2006,172.84,176.02,171.37,171.83,14658822,GOOGL
2/15/2006,170.81,173.17,169.08,171.36,12950205,GOOGL
2/16/2006,173.01,183.68,172.42,183.41,21346655,GOOGL
2/17/2006,185.11,186.26,181.99,184.56,14320187,GOOGL
2/21/2006,183.4,186.96,182.74,183.48,8690747,GOOGL
2/22/2006,183.76,184.66,182.11,182.93,6480739,GOOGL
2/23/2006,182.99,190.81,182.88,189.22,12555816,GOOGL
2/24/2006,188.84,190.23,186.93,188.89,6486245,GOOGL
2/27/2006,190.83,196.05,190.33,195.38,10218579,GOOGL
2/28/2006,196.8,198.97,169.42,181.49,39446833,GOOGL
3/1/2006,184.46,184.91,180.83,182.58,12065342,GOOGL
3/2/2006,182.32,190.74,181.28,188.41,18340198,GOOGL
3/3/2006,192.34,193.81,188.07,189.28,11965401,GOOGL
3/6/2006,190.65,191.89,183.75,184.23,8944987,GOOGL
3/7/2006,182.69,184.41,179.25,182.41,10458838,GOOGL
3/8/2006,177.14,180.2,175.45,177.12,11789648,GOOGL
3/9/2006,177.87,179.44,170.92,171.67,13930023,GOOGL
3/10/2006,171.92,172.42,165.94,168.92,19335603,GOOGL
3/13/2006,170.64,173.22,167.89,168.7,13647636,GOOGL
3/14/2006,168.74,176.36,166.48,175.76,18462895,GOOGL
3/15/2006,175.56,176.33,170.44,172.42,12772794,GOOGL
3/16/2006,174.48,174.55,169.12,169.55,10021478,GOOGL
3/17/2006,169.57,171.06,167.63,170.06,8558663,GOOGL
3/20/2006,171.34,175.22,170.94,174.27,10415814,GOOGL
3/21/2006,175.18,176.01,169.71,170.13,9858099,GOOGL
3/22/2006,170.04,172.22,168.92,170.28,7600389,GOOGL
3/23/2006,171.35,173.05,170.27,171.12,7784834,GOOGL
3/24/2006,184.49,185.23,181.44,183.08,15182162,GOOGL
3/27/2006,183.73,186.04,182.68,185.03,7026402,GOOGL
3/28/2006,186.04,189.12,185.77,188.79,8952532,GOOGL
3/29/2006,190.16,199.7,189.94,197.69,19345086,GOOGL
3/30/2006,194.79,196.95,192,194.41,14723626,GOOGL
3/31/2006,194.56,196.13,192.21,195.19,36514857,GOOGL
4/3/2006,194.96,196.43,194.16,195.04,8129930,GOOGL
4/4/2006,195.14,202.65,194.26,202.37,15725137,GOOGL
4/5/2006,204.31,207.49,201.61,204.2,13454976,GOOGL
4/6/2006,203.45,207.15,202.92,205.8,8599983,GOOGL
4/7/2006,206.41,206.63,202.21,203.28,7027980,GOOGL
4/10/2006,203.74,208.79,202.83,208.4,9325308,GOOGL
4/11/2006,208.42,209.76,203.31,205.03,11112419,GOOGL
4/12/2006,204.7,205.87,202.8,204.68,6021169,GOOGL
4/13/2006,204.52,205.08,200.45,201.28,6554861,GOOGL
4/17/2006,201.93,206.46,200.62,203.61,8261422,GOOGL
4/18/2006,204.17,205.12,200.95,202.32,8154780,GOOGL
4/19/2006,206.49,207.03,203.57,205.46,6786151,GOOGL
4/20/2006,205.71,208.21,204.3,207.71,12458412,GOOGL
4/21/2006,224.67,225.59,218.3,218.77,22559250,GOOGL
4/24/2006,219.92,222.57,218.48,220.47,8840100,GOOGL
4/25/2006,220.03,220.74,213.21,213.79,9569567,GOOGL
4/26/2006,214.08,215.24,211.98,213.2,7282287,GOOGL
4/27/2006,211.67,213.67,209.9,210.23,8359256,GOOGL
4/28/2006,209.52,213.08,208.36,209.18,7425666,GOOGL
5/1/2006,209.44,209.93,199.47,199.65,10367637,GOOGL
5/2/2006,200.74,201.45,194.39,197.6,13108333,GOOGL
5/3/2006,198.37,200.95,195.64,197.28,8075850,GOOGL
5/4/2006,197.71,199.63,196.3,197.57,4653255,GOOGL
5/5/2006,199,200.54,196.09,197.35,6069528,GOOGL
5/8/2006,197.75,198.76,195.22,197.59,5129461,GOOGL
5/9/2006,198.04,204.7,197.07,204.6,9143664,GOOGL
5/10/2006,204.36,206.06,201.13,201.69,6211308,GOOGL
5/11/2006,201.91,202.56,192.68,193.69,8898884,GOOGL
5/12/2006,191.96,192.63,186.96,187.25,10156524,GOOGL
5/15/2006,188.15,190.27,184.31,188.29,8594484,GOOGL
5/16/2006,188.18,188.62,185.13,185.84,5317198,GOOGL
5/17/2006,185.49,190.11,185.3,187.44,10664908,GOOGL
5/18/2006,189.58,191.1,185.54,185.68,5835892,GOOGL
5/19/2006,186.83,187.44,180.47,185.2,11399560,GOOGL
5/22/2006,184.11,186.7,182.81,185.66,8605568,GOOGL
5/23/2006,187.29,192.13,186.97,187.98,8985421,GOOGL
5/24/2006,188.86,191.91,185.99,190.82,9556510,GOOGL
5/25/2006,189.73,191.69,186.34,191.69,8198046,GOOGL
5/26/2006,192.47,193.13,190.21,190.87,3667717,GOOGL
5/30/2006,189.33,190.69,185.91,186.16,4315930,GOOGL
5/31/2006,187.09,189.31,183.57,186.1,7982732,GOOGL
6/1/2006,186.96,191.69,185.99,191.5,6280223,GOOGL
6/2/2006,192.92,193.73,188.91,189.91,6386442,GOOGL
6/5/2006,188.28,190.92,187.26,187.41,5559992,GOOGL
6/6/2006,188.48,195.2,188.34,195.19,10263036,GOOGL
6/7/2006,196.82,197.63,193.44,193.45,8912579,GOOGL
6/8/2006,194.07,197.33,189.48,196.85,10360552,GOOGL
6/9/2006,196.29,197.91,192.87,193.48,6159365,GOOGL
6/12/2006,194.36,195.44,190.69,190.96,5021083,GOOGL
6/13/2006,190.64,193.69,189.25,193.46,7662124,GOOGL
6/14/2006,195.11,195.75,189.45,192.39,7773360,GOOGL
6/15/2006,193.5,196.32,191.69,195.7,6788401,GOOGL
6/16/2006,194.74,195.66,194.19,195.55,5306979,GOOGL
6/19/2006,195.62,197.6,193.68,194.26,7634692,GOOGL
6/20/2006,194.21,196.13,193.45,193.78,4045219,GOOGL
6/21/2006,195.73,202.2,195.07,201.27,8745047,GOOGL
6/22/2006,200.99,203.2,194.19,200.17,6008179,GOOGL
6/23/2006,201.58,205.08,200.57,202.63,5314766,GOOGL
6/26/2006,203.58,204.35,201.83,202.31,3551178,GOOGL
6/27/2006,203.06,204.2,200.71,201.36,4107079,GOOGL
6/28/2006,202.21,203.44,200.77,203.26,3712699,GOOGL
6/29/2006,204.2,209.31,203.11,209.11,6662215,GOOGL
6/30/2006,208.01,209.87,206.37,209.87,6298846,GOOGL
7/3/2006,210.23,212.1,209.93,211.81,2156782,GOOGL
7/5/2006,210.97,211.61,208.03,210.94,4986307,GOOGL
7/6/2006,211.9,212.9,211.2,211.81,3687577,GOOGL
7/7/2006,213.24,214.16,208.15,210.44,6042310,GOOGL
7/10/2006,211.93,212.83,208.4,209.31,4438867,GOOGL
7/11/2006,209.46,212.74,206.72,212.49,5972817,GOOGL
7/12/2006,211.26,211.58,208.57,208.83,4906618,GOOGL
7/13/2006,207.21,209.38,203.62,204.62,6924475,GOOGL
7/14/2006,205.37,205.95,199.5,201.95,7552072,GOOGL
7/17/2006,202.52,205.7,202.06,204.15,5813229,GOOGL
7/18/2006,205.08,205.49,199.07,201.73,8631609,GOOGL
7/19/2006,197.7,200.77,197.53,199.7,8523151,GOOGL
7/20/2006,202.34,202.42,193.02,193.75,12631703,GOOGL
7/21/2006,193.26,196.07,189.03,195.25,11767919,GOOGL
7/24/2006,196.61,197.14,190.8,195.65,8087709,GOOGL
7/25/2006,192.7,195.85,192.09,194.87,5761388,GOOGL
7/26/2006,194.29,196.15,191.69,192.94,5532668,GOOGL
7/27/2006,193.88,193.94,189.16,191.39,5641105,GOOGL
7/28/2006,191.19,194.97,191.06,194.25,4084395,GOOGL
7/31/2006,194.19,194.78,191.85,193.49,4598575,GOOGL
8/1/2006,192.75,193.08,187.94,187.94,5466822,GOOGL
8/2/2006,187.99,188.77,182.78,183.8,7098826,GOOGL
8/3/2006,182.67,189.14,181.86,187.88,6329923,GOOGL
8/4/2006,189.97,190.53,186.06,187.11,5095481,GOOGL
8/7/2006,185.94,190.05,185.76,189.16,3999670,GOOGL
8/8/2006,191.6,192.44,189.73,190.69,5744843,GOOGL
8/9/2006,192.08,192.53,188.37,188.66,4311433,GOOGL
8/10/2006,187.13,189.02,186.42,187.29,4264885,GOOGL
8/11/2006,187.39,187.83,184.18,184.43,3768869,GOOGL
8/14/2006,185.94,187.75,184.52,184.9,4968614,GOOGL
8/15/2006,187.24,191.03,186.49,190.68,6699844,GOOGL
8/16/2006,191.93,194.42,191.25,194.05,5853626,GOOGL
8/17/2006,193.39,195.19,192.15,193.09,5080326,GOOGL
8/18/2006,193.35,193.74,190.57,191.87,4952934,GOOGL
8/21/2006,189.24,189.69,187.8,188.84,4120021,GOOGL
8/22/2006,189.06,189.82,187.61,189.33,4164286,GOOGL
8/23/2006,189.01,189.32,186.52,186.9,3644331,GOOGL
8/24/2006,187.41,188.39,186.32,187.05,3484226,GOOGL
8/25/2006,186.73,187.85,186.44,186.82,2467697,GOOGL
8/28/2006,187.99,190.67,187.69,190.67,4165511,GOOGL
8/29/2006,190.58,191.35,188.79,189.66,4465569,GOOGL
8/30/2006,189.79,192.52,189.44,190.57,4043381,GOOGL
